Time,Position_steps,Velocity_steps_per_sec
0,2167,0
7.5e-06,2167,3.165
1.5e-05,2167,6.33
2.25e-05,2167,9.495
3e-05,2167,12.66
3.75e-05,2167,15.825
4.5e-05,2167,18.99
5.25e-05,2167,22.155
6e-05,2167,25.32
6.75e-05,2167,28.485
7.5e-05,2167,31.65
8.25e-05,2167,34.815
9e-05,2167,37.98
9.75e-05,2167,41.145
0.000105,2167,44.31
0.0001125,2167,47.475
0.00012,2167,50.64
0.0001275,2167,53.805
0.000135,2167,56.97
0.0001425,2167,60.135
0.00015,2167,63.3
0.0001575,2167.01,66.465
0.000165,2167.01,69.63
0.0001725,2167.01,72.795
0.00018,2167.01,75.96
0.0001875,2167.01,79.125
0.000195,2167.01,82.29
0.0002025,2167.01,85.455
0.00021,2167.01,88.62
0.0002175,2167.01,91.785
0.000225,2167.01,94.95
0.0002325,2167.01,98.115
0.00024,2167.01,101.28
0.0002475,2167.01,104.445
0.000255,2167.01,107.61
0.0002625,2167.01,110.775
0.00027,2167.02,113.94
0.0002775,2167.02,117.105
0.000285,2167.02,120.27
0.0002925,2167.02,123.435
0.0003,2167.02,126.6
0.0003075,2167.02,129.765
0.000315,2167.02,132.93
0.0003225,2167.02,136.095
0.00033,2167.02,139.26
0.0003375,2167.02,142.425
0.000345,2167.03,145.59
0.0003525,2167.03,148.755
0.00036,2167.03,151.92
0.0003675,2167.03,155.085
0.000375,2167.03,158.25
0.0003825,2167.03,161.415
0.00039,2167.03,164.58
0.0003975,2167.03,167.745
0.000405,2167.04,170.91
0.0004125,2167.04,174.075
0.00042,2167.04,177.24
0.0004275,2167.04,180.405
0.000435,2167.04,183.57
0.0004425,2167.04,186.735
0.00045,2167.04,189.9
0.0004575,2167.04,193.065
0.000465,2167.05,196.23
0.0004725,2167.05,199.395
0.00048,2167.05,202.56
0.0004875,2167.05,205.725
0.000495,2167.05,208.89
0.0005025,2167.05,212.055
0.00051,2167.06,215.22
0.0005175,2167.06,218.385
0.000525,2167.06,221.55
0.0005325,2167.06,224.715
0.00054,2167.06,227.88
0.0005475,2167.06,231.045
0.000555,2167.07,234.21
0.0005625,2167.07,237.375
0.00057,2167.07,240.54
0.0005775,2167.07,243.705
0.000585,2167.07,246.87
0.0005925,2167.08,250.035
0.0006,2167.08,253.2
0.0006075,2167.08,256.365
0.000615,2167.08,259.53
0.0006225,2167.08,262.695
0.00063,2167.08,265.86
0.0006375,2167.09,269.025
0.000645,2167.09,272.19
0.0006525,2167.09,275.355
0.00066,2167.09,278.52
0.0006675,2167.1,281.685
0.000675,2167.1,284.85
0.0006825,2167.1,288.015
0.00069,2167.1,291.18
0.0006975,2167.1,294.345
0.000705,2167.11,297.51
0.0007125,2167.11,300.675
0.00072,2167.11,303.84
0.0007275,2167.11,307.005
0.000735,2167.12,310.17
0.0007425,2167.12,313.335
0.00075,2167.12,316.5
0.0007575,2167.12,319.665
0.000765,2167.12,322.83
0.0007725,2167.13,325.995
0.00078,2167.13,329.16
0.0007875,2167.13,332.325
0.000795,2167.13,335.49
0.0008025,2167.14,338.655
0.00081,2167.14,341.82
0.0008175,2167.14,344.985
0.000825,2167.14,348.15
0.0008325,2167.15,351.315
0.00084,2167.15,354.48
0.0008475,2167.15,357.645
0.000855,2167.16,360.81
0.0008625,2167.16,363.975
0.00087,2167.16,367.14
0.0008775,2167.16,370.305
0.000885,2167.17,373.47
0.0008925,2167.17,376.635
0.0009,2167.17,379.8
0.0009075,2167.18,382.965
0.000915,2167.18,386.13
0.0009225,2167.18,389.295
0.00093,2167.18,392.46
0.0009375,2167.19,395.625
0.000945,2167.19,398.79
0.0009525,2167.19,401.955
0.00096,2167.2,405.12
0.0009675,2167.2,408.285
0.000975,2167.2,411.45
0.0009825,2167.21,414.615
0.00099,2167.21,417.78
0.0009975,2167.21,420.945
0.001005,2167.21,424.11
0.0010125,2167.22,427.275
0.00102,2167.22,430.44
0.0010275,2167.22,433.605
0.001035,2167.23,436.77
0.0010425,2167.23,439.935
0.00105,2167.23,443.1
0.0010575,2167.24,446.265
0.001065,2167.24,449.43
0.0010725,2167.24,452.595
0.00108,2167.25,455.76
0.0010875,2167.25,458.925
0.001095,2167.25,462.09
0.0011025,2167.26,465.255
0.00111,2167.26,468.42
0.0011175,2167.27,471.585
0.001125,2167.27,474.75
0.0011325,2167.27,477.915
0.00114,2167.28,481.08
0.0011475,2167.28,484.245
0.001155,2167.28,487.41
0.0011625,2167.29,490.575
0.00117,2167.29,493.74
0.0011775,2167.29,496.905
0.001185,2167.3,500.07
0.0011925,2167.3,503.235
0.0012,2167.31,506.4
0.0012075,2167.31,509.565
0.001215,2167.31,512.73
0.0012225,2167.32,515.895
0.00123,2167.32,519.06
0.0012375,2167.33,522.225
0.001245,2167.33,525.39
0.0012525,2167.33,528.555
0.00126,2167.34,531.72
0.0012675,2167.34,534.885
0.001275,2167.35,538.05
0.0012825,2167.35,541.215
0.00129,2167.35,544.38
0.0012975,2167.36,547.545
0.001305,2167.36,550.71
0.0013125,2167.37,553.875
0.00132,2167.37,557.04
0.0013275,2167.37,560.205
0.001335,2167.38,563.37
0.0013425,2167.38,566.535
0.00135,2167.39,569.7
0.0013575,2167.39,572.865
0.001365,2167.4,576.03
0.0013725,2167.4,579.195
0.00138,2167.4,582.36
0.0013875,2167.41,585.525
0.001395,2167.41,588.69
0.0014025,2167.42,591.855
0.00141,2167.42,595.02
0.0014175,2167.43,598.185
0.001425,2167.43,601.35
0.0014325,2167.44,604.515
0.00144,2167.44,607.68
0.0014475,2167.44,610.845
0.001455,2167.45,614.01
0.0014625,2167.45,617.175
0.00147,2167.46,620.34
0.0014775,2167.46,623.505
0.001485,2167.47,626.67
0.0014925,2167.47,629.835
0.0015,2167.48,633
0.0015075,2167.48,636.165
0.001515,2167.49,639.33
0.0015225,2167.49,642.495
0.00153,2167.5,645.66
0.0015375,2167.5,648.825
0.001545,2167.51,651.99
0.0015525,2167.51,655.155
0.00156,2167.52,658.32
0.0015675,2167.52,661.485
0.001575,2167.53,664.65
0.0015825,2167.53,667.815
0.00159,2167.54,670.98
0.0015975,2167.54,674.145
0.001605,2167.55,677.31
0.0016125,2167.55,680.475
0.00162,2167.56,683.64
0.0016275,2167.56,686.805
0.001635,2167.57,689.97
0.0016425,2167.57,693.135
0.00165,2167.58,696.3
0.0016575,2167.58,699.465
0.001665,2167.59,702.63
0.0016725,2167.59,705.795
0.00168,2167.6,708.96
0.0016875,2167.6,712.125
0.001695,2167.61,715.29
0.0017025,2167.61,718.455
0.00171,2167.62,721.62
0.0017175,2167.63,724.785
0.001725,2167.63,727.95
0.0017325,2167.64,731.115
0.00174,2167.64,734.28
0.0017475,2167.65,737.445
0.001755,2167.65,740.61
0.0017625,2167.66,743.775
0.00177,2167.66,746.94
0.0017775,2167.67,750.105
0.001785,2167.68,753.27
0.0017925,2167.68,756.435
0.0018,2167.69,759.6
0.0018075,2167.69,762.765
0.001815,2167.7,765.93
0.0018225,2167.7,769.095
0.00183,2167.71,772.26
0.0018375,2167.72,775.425
0.001845,2167.72,778.59
0.0018525,2167.73,781.755
0.00186,2167.73,784.92
0.0018675,2167.74,788.085
0.001875,2167.74,791.25
0.0018825,2167.75,794.415
0.00189,2167.76,797.58
0.0018975,2167.76,800.745
0.001905,2167.77,803.91
0.0019125,2167.77,807.075
0.00192,2167.78,810.24
0.0019275,2167.79,813.405
0.001935,2167.79,816.57
0.0019425,2167.8,819.735
0.00195,2167.81,822.9
0.0019575,2167.81,826.065
0.001965,2167.82,829.23
0.0019725,2167.82,832.395
0.00198,2167.83,835.56
0.0019875,2167.84,838.725
0.001995,2167.84,841.89
0.0020025,2167.85,845.055
0.00201,2167.86,848.22
0.0020175,2167.86,851.385
0.002025,2167.87,854.55
0.0020325,2167.87,857.715
0.00204,2167.88,860.88
0.0020475,2167.89,864.045
0.002055,2167.89,867.21
0.0020625,2167.9,870.375
0.00207,2167.91,873.54
0.0020775,2167.91,876.705
0.002085,2167.92,879.87
0.0020925,2167.93,883.035
0.0021,2167.93,886.2
0.0021075,2167.94,889.365
0.002115,2167.95,892.53
0.0021225,2167.95,895.695
0.00213,2167.96,898.86
0.0021375,2167.97,902.025
0.002145,2167.97,905.19
